Energy keV,Calibration Source,Trapezoid Height
122.061,Co-57,21430.91359285550
136.474,Co-57,23924.074250363300
238.632,Th-228 (Pb-212),41931.11661122980
277.371,Th-228 (Tl-208),48681.26670744130
300.087,Th-228 (Pb-212),52546.18092643630
510.77,Th-228 (Tl-208),89779.40128377760
583.187,Th-228 (Tl-208),102529.34180026500
661.657,Cs-137,116245.15536960500
727.33,Th-228 (Bi-212),127931.48128215500
860.557,Th-228 (Tl-208),151168.99108739800
1173.228,Co-60,206237.26531696800
1332.492,Co-60,234284.6276947830
2614.511,Th-228 (Tl-208),460631.65423167100
